Error,Category
"AttributeError: 'float' object has no attribute 'append', at main.py line 110\nat module_w.py line 5", DATA_STRUCTURE
"ValueError: could not convert string to float: 'abc', at main.py line 115\nat module_x.py line 19", DATA_TYPE
"FileNotFoundError: [Errno 2] No such file or directory: 'input.txt', at main.py line 120\nat module_y.py line 22", DATA_STRUCTURE
"TypeError: 'set' object does not support indexing, at main.py line 125\nat module_z.py line 11", DATA_STRUCTURE
"CS0117: 'class_name' does not contain a definition for 'method_name', at main.cs line 25\nat class_name.cs line 10", SYNTAX
"CS0103: The name 'variable_name' does not exist in the current context, at main.cs line 35\nat module_a.cs line 17", SYNTAX
"CS0029: Cannot implicitly convert type 'type1' to 'type2', at main.cs line 45\nat module_b.cs line 20", DATA_TYPE
"CS0122: 'method_name' is inaccessible due to its protection level, at main.cs line 55\nat module_c.cs line 8", SYNTAX
"CS1061: 'object' does not contain a definition for 'method_name' and no extension method 'method_name' accepting a first argument of type 'object' could be found, at main.cs line 65\nat module_d.cs line 12", DATA_STRUCTURE
"CS0115: 'class_name.method_name()' is marked as an override but no suitable method found to override, at main.cs line 75\nat class_name.cs line 25", SYNTAX
"CS1503: Argument 1: cannot convert from 'type1' to 'type2', at main.cs line 85\nat module_e.cs line 30", DATA_TYPE
"CS0120: An object reference is required for the non-static field, method, or property 'class_name.method_name()', at main.cs line 95\nat class_name.cs line 15", SYNTAX
"CS0023: Operator 'operator_name' cannot be applied to operands of type 'type1' and 'type2', at main.cs line 105\nat module_f.cs line 7", DATA_TYPE
"CS0234: The type or namespace name 'namespace_name' does not exist in the namespace 'parent_namespace_name', at main.cs line 115\nat module_g.cs line 11", SYNTAX
"CS0123: No overload for 'method_name' matches delegate 'delegate_name', at main.cs line 125\nat module_h.cs line 18", SYNTAX
"CS1069: The type name 'class_name<type1>' could not be found in the namespace 'namespace_name', at main.cs line 135\nat module_i.cs line 25", SYNTAX
"CS1519: Invalid token 'token_name' in class, struct, or interface member declaration, at main.cs line 145\nat module_j.cs line 13", SYNTAX
"CS0030: Cannot convert type 'type1' to 'type2', at main.cs line 155\nat module_k.cs line 22", DATA_TYPE
"CS0236: A field initializer cannot reference the non-static field, method, or property 'class_name.method_name()', at main.cs line 165\nat class_name.cs line 30", SYNTAX
"CS1520: Method must have a return type, at main.cs line 175\nat module_l.cs line 10", SYNTAX
"CS0108: 'class_name' hides inherited member 'parent_class_name.member_name'. Use the new keyword if hiding was intended, at main.cs line 185\nat class_name.cs line 20", SYNTAX
"Index was outside the bounds of the array", DATA_STRUCTURE
"Object reference not set to an instance of an object", DATA_TYPE
"The type or namespace name 'namespace_name' could not be found (are you missing a using directive or an assembly reference?)", SYNTAX
"Cannot implicitly convert type 'type1' to 'type2'", DATA_TYPE
"'class_name' does not contain a definition for 'method_name' and no accessible extension method 'method_name' accepting a first argument of type 'class_name' could be found", DATA_STRUCTURE
"The name 'variable_name' does not exist in the current context", SYNTAX
"The name 'interface_name' does not exist in the current context", SYNTAX
"The type 'type1' already contains a definition for 'property_name'", SYNTAX
"'method_name' cannot be accessed with an instance reference; qualify it with a type name instead", DATA_TYPE
"The modifier 'modifier_name' is not valid for this item", SYNTAX
"The call is ambiguous between the following methods or properties: 'method_name1' and 'method_name2'", SYNTAX
"The property or indexer 'property_name' cannot be used in this context because the get accessor is inaccessible", DATA_TYPE
"The property or indexer 'property_name' cannot be used in this context because it lacks the get accessor", DATA_TYPE
"The type 'type_name' already contains a definition for 'method_name'", SYNTAX
"Cannot implicitly convert type 'type1' to 'type2'. An explicit conversion exists (are you missing a cast?)", DATA_TYPE
"Cannot assign to 'variable_name' because it is a 'read-only' variable", DATA_TYPE
"Only assignment, call, increment, decrement, and new object expressions can be used as a statement", SYNTAX
"An object reference is required for the non-static field, method, or property 'member_name'", DATA_TYPE
"The type or namespace name 'type_or_namespace_name' could not be found (are you missing a using directive or an assembly reference?)", SYNTAX
"The name 'method_name' does not exist in the current context", SYNTAX
"The name 'class_name' does not exist in the namespace 'namespace_name' (are you missing an assembly reference?)", SYNTAX
"Invalid token 'token_name' in class, struct, or interface member declaration", SYNTAX
"The type or namespace name 'type_or_namespace_name' does not exist in the namespace 'namespace_name' (are you missing an assembly reference?)", SYNTAX
"The type 'type_name' has no constructors defined", DATA_TYPE
"The type or namespace name 'type_name' could not be found (are you missing a using directive or an assembly reference?)", SYNTAX
"The left-hand side of an assignment must be a variable, property or indexer", SYNTAX
"The type or namespace name 'type_name' could not be found (are you missing a using directive or an assembly reference?)", SYNTAX
"The call is ambiguous between the following methods or properties: 'method_name1' and 'method_name2'", SYNTAX
"The type 'type_name' already contains a definition for 'method_name'", SYNTAX
"Cannot implicitly convert type 'type1' to 'type2'. An explicit conversion exists (are you missing a cast?)", DATA_TYPE
"Cannot assign to 'variable_name' because it is a 'read-only' variable", DATA_TYPE
"The type or namespace name 'namespace_name' could not be found (are you missing a using directive or an assembly reference?)", SYNTAX
"SyntaxError: invalid syntax", SYNTAX
"IndentationError: expected an indented block", SYNTAX
"NameError: name 'variable_name' is not defined", SYNTAX
"TypeError: 'int' object is not iterable", DATA_TYPE
"AttributeError: 'str' object has no attribute 'append'", DATA_STRUCTURE
"KeyError: 'missing_key'", DATA_STRUCTURE
"TypeError: can only concatenate str (not 'int') to str", DATA_TYPE
"ZeroDivisionError: division by zero", DATA_TYPE
"ValueError: invalid literal for int() with base 10: 'abc'", DATA_TYPE
"IndexError: list index out of range", DATA_STRUCTURE
"TypeError: unsupported operand type(s) for +: 'int' and 'str'", DATA_TYPE
"NameError: name 'function_name' is not defined", SYNTAX
"TypeError: 'NoneType' object is not subscriptable", DATA_STRUCTURE
"AttributeError: 'float' object has no attribute 'append'", DATA_STRUCTURE
"ValueError: could not convert string to float: 'abc'", DATA_TYPE
"TypeError: 'set' object does not support indexing", DATA_STRUCTURE
"TypeError: 'tuple' object does not support item assignment", DATA_STRUCTURE
"TypeError: 'int' object is not callable", DATA_TYPE
"TypeError: 'NoneType' object is not iterable", DATA_TYPE
"TypeError: can only concatenate list (not 'int') to list", DATA_TYPE
"AttributeError: 'tuple' object has no attribute 'remove_element'", DATA_STRUCTURE
"NameError: name 'variable_name' is not defined", SYNTAX
"TypeError: 'map' object is not subscriptable", DATA_STRUCTURE
"NameError: name 'method_name' is not defined", SYNTAX
"AttributeError: 'float' object has no attribute 'popitem'", DATA_STRUCTURE
"IndexError: tuple index out of range", DATA_STRUCTURE
"ValueError: could not convert string to float: 'abc'", DATA_TYPE
"TypeError: 'dict' object is not callable", DATA_TYPE
"NameError: name 'class_name' is not defined", SYNTAX
"AttributeError: 'str' object has no attribute 'remove'", DATA_STRUCTURE
"TypeError: 'int' object is not subscriptable", DATA_STRUCTURE
"AttributeError: 'tuple' object has no attribute 'append'", DATA_STRUCTURE
"NameError: name 'module_name' is not defined", SYNTAX
"NameError: global name 'variable_name' is not defined", SYNTAX
"TypeError: 'type' object is not subscriptable", DATA_STRUCTURE
"TypeError: 'NoneType' object has no attribute 'append'", DATA_STRUCTURE
"AttributeError: 'str' object has no attribute 'popitem'", DATA_STRUCTURE
"IndexError: list assignment index out of range", DATA_STRUCTURE
"TypeError: 'int' object is not iterable", DATA_TYPE
"TypeError: unsupported operand type(s) for -: 'str' and 'int'", DATA_TYPE
"TypeError: 'set' object is not subscriptable", DATA_STRUCTURE
"TypeError: 'int' object is not callable", DATA_TYPE
"AttributeError: 'list' object has no attribute 'remove_element'", DATA_STRUCTURE
"IndexError: list index out of range", DATA_STRUCTURE
"NameError: name 'function_name' is not defined", SYNTAX
"TypeError: unsupported operand type(s) for +: 'float' and 'str'", DATA_TYPE
"MemoryError: Unable to allocate [number] bytes for array with shape (shape)", MEMORY
"RecursionError: maximum recursion depth exceeded in comparison", MEMORY
"MemoryError: Out of memory", MEMORY
"BufferError: memoryview: underlying buffer is not C-contiguous", MEMORY
"OSError: [Errno 12] Cannot allocate memory", MEMORY
"SystemError: Negative size passed to PyBytes_FromStringAndSize", MEMORY
"OverflowError: Python int too large to convert to C long", MEMORY
"ValueError: Out of range values are not accepted here", MEMORY
"OverflowError: int too big to convert", MEMORY
"OSError: [Errno 28] No space left on device", MEMORY
"ValueError: Buffer too small (minimum size [size] needed)", MEMORY
"SystemError: Failed to create new frame", MEMORY
"RecursionError: maximum recursion depth exceeded while calling a Python object", MEMORY
"SystemError: <built-in function [function_name]> returned NULL without setting an error", MEMORY
"BufferError: memoryview: underlying buffer is not contiguous", MEMORY
"SystemError: <built-in function [function_name]> failed to get arg count", MEMORY
"SystemError: <built-in function [function_name]> failed to initialize correctly", MEMORY
"ValueError: Array larger than available address space", MEMORY
"System.OutOfMemoryException: Exception of type 'System.OutOfMemoryException' was thrown.", MEMORY
"System.AccessViolationException: Attempted to read or write protected memory.", MEMORY
"System.ExecutionEngineException: Exception of type 'System.ExecutionEngineException' was thrown.", MEMORY
"System.Threading.ThreadAbortException: Thread was being aborted.", MEMORY
"System.ArgumentOutOfRangeException: Specified argument was out of the range of valid values.", MEMORY
"System.IO.IOException: There is not enough space on the disk.", MEMORY
"System.ArgumentException: Offset and length were out of bounds for the array or count is greater than the number of elements from index to the end of the source collection.", MEMORY
"System.ArgumentNullException: Value cannot be null.", MEMORY
"System.ArgumentException: The buffer offset and length were not valid for the specified array.", MEMORY
"System.ArgumentException: The sum of offset and count is greater than the length of buffer.", MEMORY
"System.AccessViolationException: Attempted to read or write protected memory. This is often an indication that other memory is corrupt.", MEMORY
"System.IO.IOException: There are not enough free resources available to complete this operation.", MEMORY
"System.IO.IOException: The paging file is too small for this operation to complete.", MEMORY
"SystemError: <built-in function [function_name]> returned NULL without setting an error", MEMORY
"TypeError: memoryview: a bytes-like object is required, not 'tuple'", MEMORY
"OSError: [Errno 12] Cannot allocate memory", MEMORY
"MemoryError: Out of memory, please try again with smaller input data", MEMORY
"ValueError: array is too big to fit into memory", MEMORY
"TypeError: object of type 'map' has no len()", MEMORY
"AttributeError: 'NoneType' object has no attribute 'shape'", MEMORY
"TypeError: 'int' object is not iterable", MEMORY
"RecursionError: maximum recursion depth exceeded in comparison", MEMORY
"NameError: name 'function_name' is not defined", MEMORY
"TypeError: can only concatenate list (not 'int') to list", MEMORY
"IndexError: only integers, slices (:), ellipsis (...), numpy.newaxis (None) and integer or boolean arrays are valid indices", MEMORY
"CS0103: The name 'variable_name' does not exist in the current context", MEMORY
"CS1061: 'object' does not contain a definition for 'method_name' and no extension method 'method_name' accepting a first argument of type 'object' could be found", MEMORY
"CS0117: 'class_name' does not contain a definition for 'method_name'", MEMORY
"CS0029: Cannot implicitly convert type 'type1' to 'type2'", MEMORY
"System.OutOfMemoryException: Exception of type 'System.OutOfMemoryException' was thrown.", MEMORY
"System.AccessViolationException: Attempted to read or write protected memory.", MEMORY
"System.StackOverflowException: Exception of type 'System.StackOverflowException' was thrown.", MEMORY
"System.ExecutionEngineException: Exception of type 'System.ExecutionEngineException' was thrown.", MEMORY
"System.Threading.ThreadAbortException: Thread was being aborted.", MEMORY
"System.ArgumentOutOfRangeException: Specified argument was out of the range of valid values.", MEMORY
"System.IO.IOException: There is not enough space on the disk.", MEMORY
"System.ArgumentException: Offset and length were out of bounds for the array or count is greater than the number of elements from index to the end of the source collection.", MEMORY
"System.ArgumentNullException: Value cannot be null.", MEMORY
"System.ArgumentException: The buffer offset and length were not valid for the specified array.", MEMORY
"System.ArgumentException: The sum of offset and count is greater than the length of buffer.", MEMORY
"System.AccessViolationException: Attempted to read or write protected memory. This is often an indication that other memory is corrupt.", MEMORY
"System.IO.IOException: There are not enough free resources available to complete this operation.", MEMORY
"System.IO.IOException: The paging file is too small for this operation to complete.", MEMORY
"System.OutOfMemoryException: Insufficient memory to continue the execution of the program.", MEMORY
"System.ArgumentException: Destination array was not long enough. Check destIndex and length, and the array's lower bounds.", MEMORY
"System.InvalidOperationException: Collection was modified; enumeration operation may not execute.", MEMORY
"System.Threading.ThreadInterruptedException: Thread was interrupted from a waiting state.", MEMORY
"System.NullReferenceException: Object reference not set to an instance of an object.", MEMORY
"System.ArgumentException: The array cannot be null, empty or have a rank other than 1.", MEMORY
"PermissionError: [Errno 13] Permission denied: 'file_name'", PERMISSION
"PermissionError: [Errno 1] Operation not permitted: 'file_name'", PERMISSION
"OSError: [Errno 30] Read-only file system", PERMISSION
"OSError: [Errno 13] Permission denied: '/directory_name'", PERMISSION
"OSError: [Errno 1] Operation not permitted: '/directory_name'", PERMISSION
"OSError: [Errno 17] File exists: 'file_name'", PERMISSION
"FileNotFoundError: [Errno 2] No such file or directory: 'file_name'", PERMISSION
"FileNotFoundError: [Errno 13] Permission denied: 'file_name'", PERMISSION
"FileExistsError: [Errno 17] File exists: 'file_name'", PERMISSION
"FileNotFoundError: [WinError 5] Access is denied: 'file_name'", PERMISSION
"PermissionError: [WinError 5] Access is denied: 'file_name'", PERMISSION
"PermissionError: [WinError 32] The process cannot access the file because it is being used by another process: 'file_name'", PERMISSION
"PermissionError: [WinError 183] Cannot create a file when that file already exists: 'file_name'", PERMISSION
"PermissionError: [WinError 32] The process cannot access the file because it is being used by another process: '/directory_name'", PERMISSION
"PermissionError: [WinError 5] Access is denied: '/directory_name'", PERMISSION
"OSError: [WinError 5] Access is denied: '/directory_name'", PERMISSION
"PermissionError: [WinError 5] Access is denied: '/directory_name/subdirectory_name'", PERMISSION
"OSError: [WinError 5] Access is denied: '/directory_name/subdirectory_name'", PERMISSION
"PermissionError: [WinError 5] Access is denied: 'file_name.txt'", PERMISSION
"OSError: [WinError 5] Access is denied: 'file_name.txt'", PERMISSION
"PermissionError: [WinError 5] Access is denied: '/directory_name/file_name'", PERMISSION
"OSError: [WinError 5] Access is denied: '/directory_name/file_name'", PERMISSION
"PermissionError: [WinError 5] Access is denied: '/directory_name/file_name.txt'", PERMISSION
"OSError: [WinError 5] Access is denied: '/directory_name/file_name.txt'", PERMISSION
"System.UnauthorizedAccessException: Access to the path 'path_name' is denied.", PERMISSION
"System.IO.IOException: The process cannot access the file 'path_name' because it is being used by another process.", PERMISSION
"System.UnauthorizedAccessException: Access to the path 'path_name' is denied.", PERMISSION
"System.UnauthorizedAccessException: Access to the path 'path_name' is denied.", PERMISSION
"System.UnauthorizedAccessException: Access to the path 'path_name' is denied.", PERMISSION
"System.IO.IOException: The process cannot access the file 'path_name' because it is being used by another process.", PERMISSION
"System.UnauthorizedAccessException: Access to the path 'path_name' is denied.", PERMISSION
"System.UnauthorizedAccessException: Access to the path 'path_name' is denied.", PERMISSION
"System.IO.IOException: The process cannot access the file 'path_name' because it is being used by another process.", PERMISSION
"OSError: [Errno 28] No space left on device", SPACE
"IOError: [Errno 28] No space left on device", SPACE
"FileNotFoundError: [Errno 2] No such file or directory: 'file_name': 'file_name'", SPACE
"shutil.Error: shutil.Error: [Errno 28] No space left on device", SPACE
"MemoryError", SPACE
"sqlite3.OperationalError: database or disk is full", SPACE
"sqlite3.OperationalError: disk I/O error", SPACE
"disk I/O error", SPACE
"pandas.errors.EmptyDataError: No columns to parse from file", SPACE
"urllib.error.URLError: <urlopen error [Errno 28] No space left on device>", SPACE
"OSError: [Errno 28] No space left on device: '/path/to/directory'", SPACE
"shutil.Error: shutil.Error: [Errno 28] No space left on device: '/path/to/directory'", SPACE
"IOError: [Errno 28] No space left on device: '/path/to/directory/file_name'", SPACE
"shutil.Error: shutil.Error: [Errno 28] No space left on device: '/path/to/directory/file_name'", SPACE
"OSError: [Errno 28] No space left on device: '/path/to/file_name'", SPACE
"shutil.Error: shutil.Error: [Errno 28] No space left on device: '/path/to/file_name'", SPACE
"IOError: [Errno 28] No space left on device: '/path/to/directory_name'", SPACE
"shutil.Error: shutil.Error: [Errno 28] No space left on device: '/path/to/directory_name'", SPACE
"IOError: [Errno 28] No space left on device: '/path/to/directory_name/subdirectory_name/file_name'", SPACE
"shutil.Error: shutil.Error: [Errno 28] No space left on device: '/path/to/directory_name/subdirectory_name/file_name'", SPACE
"OSError: [Errno 28] No space left on device: '/path/to/directory_name/subdirectory_name/file_name'", SPACE
"shutil.Error: shutil.Error: [Errno 28] No space left on device: '/path/to/directory_name/subdirectory_name/file_name'", SPACE
"System.IO.IOException: There is not enough space on the disk.", SPACE
"System.IO.IOException: Not enough space is available to complete this operation.", SPACE
"System.IO.IOException: The disk is full.", SPACE
"System.IO.IOException: There is insufficient disk space to complete the operation.", SPACE
"System.IO.IOException: There is not enough space on the disk to complete the operation.", SPACE
"System.IO.IOException: Not enough storage is available to process this command.", SPACE
"System.IO.IOException: There is not enough space on the disk to create the volume shadow copy of the storage location (0x8004231F)", SPACE
"System.IO.IOException: Not enough space is available on the disk.", SPACE
"System.IO.IOException: There is not enough space on the disk for the selected operation.", SPACE
"System.IO.IOException: There is not enough space on the disk to complete the operation. (Exception from HRESULT: 0x80070070)", SPACE
"System.UnauthorizedAccessException: Access to the path 'path_name' is denied.", PERMISSION
"System.IO.IOException: The process cannot access the file 'path_name' because it is being used by another process.", PERMISSION
"OSError: [Errno 28] No space left on device", SPACE
"System.IO.IOException: There is not enough space on the disk.", SPACE
"System.InvalidCastException: Unable to cast object of type 'object_type' to type 'target_type'", DATA_TYPE
"sqlite3.OperationalError: database or disk is full", SPACE
"System.IO.IOException: The disk is full.", SPACE
"TypeError: object of type 'map' has no len()", DATA_STRUCTURE
"System.ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.", DATA_STRUCTURE
"ValueError: math domain error", ARITHMETIC
"IndexError: only integers, slices (:), ellipsis (...), numpy.newaxis (None) and integer or boolean arrays are valid indices", DATA_STRUCTURE
#"SyntaxError: invalid syntax", SYNTAX
"ModuleNotFoundError: No module named 'module_name'", MODULE
"System.OutOfMemoryException: Exception of type 'System.OutOfMemoryException' was thrown.", MEMORY
"TypeError: 'int' object is not callable", DATA_TYPE
"System.DivideByZeroException: Attempted to divide by zero.", ARITHMETIC
#"System.IO.IOException: The process cannot access the file 'path_name' because it is being used by another process", PERMISSION
"System.IO.IOException: Not enough space is available to complete this operation.", SPACE
"System.IO.FileNotFoundException: Could not find file 'file_name'", DATA_STRUCTURE
"System.StackOverflowException: Exception of type 'System.StackOverflowException' was thrown.", MEMORY
"System.FormatException: The format of the input string is invalid.", DATA_FORMAT
"AttributeError: 'module' object has no attribute 'function_name'", MODULE
"CS1061: 'object' does not contain a definition for 'method_name' and no extension method 'method_name' accepting a first argument of type 'object' could be found", DATA_STRUCTURE
"System.IO.IOException: There is insufficient disk space to complete the operation.", SPACE
"System.IndexOutOfRangeException: Index was outside the bounds of the array.", DATA_STRUCTURE
"System.UnauthorizedAccessException: Access to the path 'path_name' is denied.", PERMISSION
"System.IO.IOException: Not enough storage is available to process this command.", PERMISSION
"System.IO.IOException: There is not enough space on the disk to complete the operation. (Exception from HRESULT: 0x80070070)", SPACE
"System.ArgumentException: An item with the same key has already been added.", DATA_STRUCTURE
"IOError: [Errno 28] No space left on device: '/path/to/directory_name'", SPACE
"TypeError: 'str' object is not callable", DATA_TYPE
"System.OverflowException: Arithmetic operation resulted in an overflow.", ARITHMETIC
"System.IO.IOException: The handle is invalid.", SYSTEM
"System.IO.IOException: There is not enough space on the disk to create the volume shadow copy of the storage location (0x8004231F)", SPACE
"java.nio.file.AccessDeniedException: /path/to/file_name", PERMISSION
"FileNotFoundError: [Errno 13] Permission denied: '/path/to/file_name'", PERMISSION
"Error 5: Access is denied.", PERMISSION
"System.UnauthorizedAccessException: Access to the path 'path_name' is denied.", PERMISSION
"ERR_ACCESS_DENIED (Access is denied)", PERMISSION
"Access is denied. (Error Code: 0x80070005)", PERMISSION
"PermissionError: [Errno 13] Permission denied: '/path/to/file_name'", PERMISSION
"java.security.AccessControlException: access denied (\"java.io.FilePermission\" \"/path/to/file_name\" \"read\")", PERMISSION
"System.UnauthorizedAccessException: Access to the path 'path_name' is denied.", PERMISSION
"chmod: changing permissions of '/path/to/file_name': Operation not permitted", PERMISSION
"OSError: [Errno 28] No space left on device", SPACE
"System.IO.IOException: There is not enough space on the disk.", SPACE
"sqlite3.OperationalError: database or disk is full", SPACE
"System.IO.IOException: The disk is full.", SPACE
"No space left on device (Errno::ENOSPC)", SPACE
"Error: Insufficient space for the download. Please check your available space.", SPACE
"Unable to allocate XGBClassifier() memory. Tried to allocate X GB.", SPACE
"systemd-journald[587]: Failed to write entry (19 items, 253 bytes), ignoring: No space left on device", SPACE
"raise ShmException(\"Couldn't create shared memory segment\" err)\nShmException: Couldn't create shared memory segment Errno('No space left on device')", SPACE
"java.nio.file.FileSystemException: /path/to/file_name: No such file or directory", DISK
"System.IO.FileNotFoundException: Could not find file 'file_name'", DISK
"OSError: [Errno 2] No such file or directory: '/path/to/file_name'", DISK
"System.IO.DirectoryNotFoundException: Could not find a part of the path 'path_name'.", DISK
"FileNotFoundError: [Errno 2] No such file or directory: '/path/to/file_name'", DISK
"Error: The system cannot find the file specified.", DISK
"IOError: [Errno 2] No such file or directory: '/path/to/file_name'", DISK
"java.io.FileNotFoundException: /path/to/file_name (No such file or directory)", DISK
"System.IO.FileNotFoundException: Could not find file 'file_name'", DISK
"Error 1719: Windows Installer service could not be accessed.", SYSTEM
"System.InvalidOperationException: Process has exited, so the requested information is not available.", SYSTEM
"java.lang.RuntimeException: Failed to load Hadoop native library.", SYSTEM
"Error: Host key verification failed.", SYSTEM
"ValueError: Unable to configure handler 'syslog': (13, 'Permission denied')", SYSTEM
"AttributeError: module 'os' has no attribute 'fork'", SYSTEM
"RuntimeError: The underlying C library has exited with code 255 (unknown error code).", SYSTEM
"System.ServiceModel.CommunicationObjectFaultedException: The communication object, System.ServiceModel.Channels.ServiceChannel, cannot be used for communication because it is in the Faulted state.", SYSTEM
"System.DivideByZeroException: Attempted to divide by zero.", ARITHMETIC
"java.lang.ArithmeticException: / by zero", ARITHMETIC
"ZeroDivisionError: division by zero", ARITHMETIC
"System.OverflowException: Arithmetic operation resulted in an overflow.", ARITHMETIC
"java.lang.ArithmeticException: Negative exponent", ARITHMETIC
"System.OverflowException: Value was either too large or too small for an Int32.", ARITHMETIC
"ValueError: math domain error", ARITHMETIC
"Mathematical operation resulted in an overflow", ARITHMETIC
"System.DivideByZeroException: Attempted to divide by zero.", ARITHMETIC
"System.ArithmeticException: Overflow or underflow in the arithmetic operation.", ARITHMETIC
"ValueError: time data 'invalid_date_string' does not match format '%Y-%m-%d %H:%M:%S'", DATA_FORMAT
"ValueError: could not convert string to float: 'invalid_float_string'", DATA_FORMAT
"ValueError: Invalid literal for int() with base 10: 'invalid_integer_string'", DATA_FORMAT
"System.FormatException: The format of the input string is invalid.", DATA_FORMAT
"TypeError: expected string or bytes-like object", DATA_FORMAT
"AttributeError: 'datetime.datetime' object has no attribute 'strptime'", DATA_FORMAT
"System.FormatException: The format of the input string is invalid.", DATA_FORMAT
"ValueError: Invalid format specifier", DATA_FORMAT
"ValueError: time data 'invalid_date_string' does not match format '%d/%m/%Y'", DATA_FORMAT
"AttributeError: 'int' object has no attribute 'split'", DATA_FORMAT
"TypeError: object of type 'map' has no len()", DATA_STRUCTURE
"IndexError: list index out of range", DATA_STRUCTURE
"System.ArgumentOutOfRangeException: Index was out of range. Must be non-negative and less than the size of the collection.", DATA_STRUCTURE
"IndexError: tuple index out of range", DATA_STRUCTURE
"System.Collections.Generic.KeyNotFoundException: The given key was not present in the dictionary.", DATA_STRUCTURE
"IndexError: list assignment index out of range", DATA_STRUCTURE
"KeyError: 'invalid_key'", DATA_STRUCTURE
"System.NullReferenceException: Object reference not set to an instance of an object.", DATA_STRUCTURE
"IndexError: too many indices for array", DATA_STRUCTURE
"System.InvalidOperationException: Collection was modified; enumeration operation may not execute.", DATA_STRUCTURE
"System.Threading.SemaphoreFullException: The semaphore is full and cannot be signaled.", RESOURCE
"System.TimeoutException: The operation has timed out.", RESOURCE
"System.InvalidOperationException: The collection was modified after the enumerator was instantiated.", RESOURCE
"System.IO.IOException: The semaphore timeout period has expired.", RESOURCE
"Error: Insufficient resources to complete operation.", RESOURCE
"System.IO.IOException: The semaphore cannot be set again.", RESOURCE
"Resource temporarily unavailable (Errno::EAGAIN)", RESOURCE
"System.ServiceModel.QuotaExceededException: The maximum message size quota for incoming messages (10000000) has been exceeded.", RESOURCE
"System.IO.IOException: The request could not be performed because of an I/O device error.", RESOURCE
"java.lang.OutOfMemoryError: unable to create new native thread", RESOURCE
"Access is denied. (Error Code: 0x80070005)", PERMISSION
"java.nio.file.AccessDeniedException: /path/to/file_name", PERMISSION
"IOError: [Errno 13] Permission denied: '/path/to/file_name'", PERMISSION
"System.UnauthorizedAccessException: Access to the path 'path_name' is denied.", PERMISSION
"AttributeError: 'NoneType' object has no attribute 'property_name'", PERMISSION
"System.Security.SecurityException: Request for the permission of type 'System.Security.Permissions.SecurityPermission, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089' failed.", PERMISSION
"javax.servlet.ServletException: java.security.AccessControlException: access denied (\"javax.management.MBeanServerPermission\" \"createMBeanServer\")", PERMISSION
"System.UnauthorizedAccessException: Access to the path 'path_name' is denied.", PERMISSION
"PermissionError: [Errno 13] Permission denied: '/path/to/file_name'", PERMISSION
"Error: EACCES: permission denied, unlink '/path/to/file_name'", PERMISSION
"System.IO.IOException: There is not enough space on the disk.", SPACE
"OSError: [Errno 28] No space left on device: '/path/to/directory_name'", SPACE
"sqlite3.OperationalError: database or disk is full", SPACE
"System.IO.IOException: The disk is full.", SPACE
"ERROR: The device is full", SPACE
"System.IO.IOException: There is insufficient disk space to complete the operation.", SPACE
"Error: Unable to create file /path/to/file_name. Not enough space left on device.", SPACE
"Unable to allocate XGBClassifier() memory. Tried to allocate X GB.", SPACE
"System.IO.IOException: There is not enough space on the disk to create the volume shadow copy of the storage location (0x8004231F)", SPACE
"java.io.IOException: No space left on device", SPACE
"java.nio.file.FileSystemException: /path/to/file_name: No such file or directory", DISK
"System.IO.FileNotFoundException: Could not find file 'file_name'", DISK
"OSError: [Errno 2] No such file or directory: '/path/to/file_name'", DISK
"System.IO.DirectoryNotFoundException: Could not find a part of the path 'path_name'.", DISK
"FileNotFoundError: [Errno 2] No such file or directory: '/path/to/file_name'", DISK
"Error: The system cannot find the file specified.", DISK
"IOError: [Errno 2] No such file or directory: '/path/to/file_name'", DISK
"java.io.FileNotFoundException: /path/to/file_name (No such file or directory)", DISK
"System.IO.FileNotFoundException: Could not find file 'file_name'", DISK
"AttributeError: 'module' object has no attribute 'function_name'", DISK
"System.Runtime.InteropServices.COMException: Exception from HRESULT: 0x80040154 (REGDB_E_CLASSNOTREG)", SYSTEM
"Error: Failed to initialize systemd journal logger: No such file or directory", SYSTEM
"System.ComponentModel.Win32Exception: The system cannot find the file specified", SYSTEM
"java.lang.IllegalStateException: Could not load JDBC driver class", SYSTEM
"System.IO.IOException: The system cannot find the path specified.", SYSTEM
